Order_ID,Category,Region,Quantity,Unit_Price,Discount,Rating,Sales
10001,Electronics,North,5,1375.71,0.035,4.1,6637.8
10002,Books,East,4,1680.2,0.038,3.0,6465.41
10003,Home & Kitchen,West,3,1288.17,0.04,4.7,3709.93
10004,Fashion,West,5,2451.33,0.217,4.5,9596.96
10005,Fashion,South,1,3447.97,0.043,3.4,3299.71
10006,Books,South,5,1218.44,0.298,3.9,4276.72
10007,Electronics,East,5,1720.61,0.264,2.9,6331.84
10008,Home & Kitchen,North,3,4658.88,0.287,4.9,9965.34
10009,Electronics,South,4,337.99,0.184,,1103.2
10010,Electronics,North,3,2357.77,0.349,4.8,4604.72
10011,Home & Kitchen,West,2,3586.63,0.015,3.3,7065.66
10012,Books,East,4,837.22,0.14,2.9,2880.04
10013,Home & Kitchen,West,2,332.13,0.113,3.0,589.2
10014,Books,West,2,777.21,0.332,2.7,1038.35
10015,Home & Kitchen,,3,4602.23,0.202,2.8,11017.74
10016,Books,North,5,145.37,0.282,2.7,521.88
10017,Home & Kitchen,West,2,1022.78,0.06,5.0,1922.83
10018,Electronics,North,3,253.29,0.343,2.7,499.23
10019,Books,South,1,642.08,0.175,2.8,529.72
10020,Fashion,East,1,3138.73,0.173,4.6,2595.73
10021,Home & Kitchen,South,1,1284.03,0.34,4.0,847.46
10022,Fashion,North,1,2889.14,0.133,4.4,2504.88
10023,Electronics,North,5,2991.96,0.139,4.1,12880.39
10024,Books,West,5,4262.23,0.205,4.7,16942.36
10025,Books,South,5,123.23,0.045,4.1,588.42
10026,Home & Kitchen,South,1,4281.51,0.112,3.8,3801.98
10027,Fashion,West,1,3133.68,0.068,4.3,2920.59
10028,Books,North,2,897.44,0.036,3.6,1730.26
10029,Home & Kitchen,West,3,3887.39,0.303,3.4,8128.53
10030,Fashion,West,2,4291.91,0.206,3.7,6815.55
10031,Fashion,East,3,1345.89,0.126,2.9,3528.92
10032,Electronics,North,1,4602.09,0.143,4.5,3943.99
10033,Electronics,North,4,2326.84,0.151,3.2,7901.95
10034,Home & Kitchen,South,2,3056.78,0.222,2.9,4756.35
10035,Books,East,1,4924.78,0.324,3.1,3329.15
10036,Electronics,North,4,1871.53,0.326,4.6,5045.64
10037,Books,South,5,4084.48,0.137,3.3,17624.53
10038,Books,North,1,1660.16,0.115,4.2,1469.24
10039,Fashion,East,3,4016.15,0.158,4.6,10144.79
10040,Home & Kitchen,North,5,3043.6,0.199,2.7,12189.62
10041,Electronics,,4,1160.14,0.162,4.4,3888.79
10042,Books,North,5,2128.73,0.231,3.3,8184.97
